1,6.222620646669196e-06,2.9691294435868547e-05
2,6.22100279847522e-06,2.9684430458258e-05
3,6.21938674264121e-06,2.9677574457746485e-05
4,6.2177719564538245e-06,2.9670725877851362e-05
5,6.216158283524266e-06,2.9663883603588217e-05
6,6.2145465316173175e-06,2.9657049121079634e-05
7,6.212936727196986e-06,2.965022231867274e-05
8,6.211328750460482e-06,2.964340299983621e-05
9,6.209722472555874e-06,2.963659168421012e-05
10,6.2081178881010955e-06,2.9629786388516527e-05
11,6.2065153706699915e-06,2.9622989766131368e-05
12,6.204913899579431e-06,2.961619494365059e-05
13,6.2033139721368964e-06,2.9609404527631357e-05
14,6.201715554780287e-06,2.9602622191133066e-05
15,6.200119044178399e-06,2.959584738425695e-05
16,6.198524321823628e-06,2.9589079065991216e-05
17,6.19693128819999e-06,2.9582316573525775e-05
18,6.1953403245119424e-06,2.9575558714533108e-05
19,6.193751214403407e-06,2.9568808054985942e-05
20,6.192163837524604e-06,2.9562063600169282e-05
21,6.19057846937348e-06,2.9555327338475066e-05
22,6.188994971644935e-06,2.9548599309199492e-05
23,6.187413303383313e-06,2.9541880060912522e-05
24,6.18583295243223e-06,2.9535168186995697e-05
25,6.184254633870914e-06,2.9528463943905096e-05
26,6.182678041020235e-06,2.9521767043602917e-05
27,6.181103158644328e-06,2.9515075387977014e-05
28,6.179529978940944e-06,2.9508389226703737e-05
29,6.1779586434873175e-06,2.950171041986467e-05
30,6.176389238660722e-06,2.9495039142457787e-05
31,6.1748215145599596e-06,2.948837511033832e-05
32,6.173255454986731e-06,2.9481718947443518e-05
33,6.171691209722467e-06,2.947506992449076e-05
34,6.170128792055328e-06,2.946843190540676e-05
35,6.168568853146369e-06,2.9461800553320064e-05
36,6.167010643841442e-06,2.9455175629989496e-05
37,6.165454176400536e-06,2.9448558213208997e-05
38,6.163899657272902e-06,2.94419478011736e-05
39,6.1623467713303545e-06,2.9435344812883167e-05
40,6.16079560388751e-06,2.9428749013350563e-05
41,6.15924534349127e-06,2.9422159411368177e-05
42,6.15769694517245e-06,2.9415576941923898e-05
43,6.156150227646779e-06,2.9409001367519385e-05
44,6.154605182107522e-06,2.9402432976311208e-05
45,6.153061401045532e-06,2.9395866559426435e-05
46,6.1515187144171224e-06,2.9389305992857032e-05
47,6.149977980548004e-06,2.9382752112976778e-05
48,6.14843877445204e-06,2.9376205827155885e-05
49,6.1469012685441495e-06,2.936966597514491e-05
